Dates;Category;Customer
29.04.2021 22:18;SPAM;E-GOV DATA CENTER
29.04.2021 21:00;PHISHING;OFFICE OF THE PRIME-MINISTER
29.04.2021 18:49;MALWARE;HOUSE OF MINISTRIES
29.04.2021 18:00;DDOS;HOUSE OF MINISTRIES
29.04.2021 18:00;DDOS;HOUSE OF MINISTRIES
29.04.2021 18:00;INTERNAL OFFENER;AKIMAT OF THE NUR-SULTAN
29.04.2021 17:37;SPAM;MINISTRY OF DEFENCE
29.04.2021 12:27;SPAM;OFFICE OF THE PRIME-MINISTER
29.04.2021 10:39;DDOS;MINISTRY OF DEFENCE
29.04.2021 8:11;BOTNET;SUPREME COURT
29.04.2021 6:35;SECURITY SYSTEM FAULT;OFFICE OF THE PRESIDENT
29.04.2021 6:15;SPAM;MINISTRY OF DEFENCE
29.04.2021 4:17;MALWARE;HOUSE OF MINISTRIES
29.04.2021 1:05;SECURITY SYSTEM FAULT;POLICE DEPARTMENT
28.04.2021 20:00;INTERNAL OFFENER;AKIMAT OF THE NUR-SULTAN
28.04.2021 18:30;SPAM;POLICE DEPARTMENT
28.04.2021 18:00;SPAM;POLICE DEPARTMENT
28.04.2021 18:00;PHISHING;OFFICE OF THE PRESIDENT
28.04.2021 15:32;PHISHING;SUPREME COURT
28.04.2021 9:37;PHISHING;SUPREME COURT
28.04.2021 7:36;BOTNET;PARLIAMENT
28.04.2021 4:15;SPAM;HOUSE OF MINISTRIES
28.04.2021 1:25;SECURITY SYSTEM FAULT;AKIMAT OF THE NUR-SULTAN
27.04.2021 23:45;SPAM;OFFICE OF THE PRIME-MINISTER
27.04.2021 23:15;PHISHING;PARLIAMENT
27.04.2021 22:15;SPAM;SUPREME COURT
27.04.2021 21:55;BOTNET;AKIMAT OF THE NUR-SULTAN
27.04.2021 18:56;SPAM;MINISTRY OF DIGITAL DEVELOPMENT
27.04.2021 13:54;UNAUTHORIZED ACCESS;MINISTRY OF DIGITAL DEVELOPMENT
27.04.2021 12:00;PHISHING;E-GOV DATA CENTER
27.04.2021 10:00;SPAM;POLICE DEPARTMENT
27.04.2021 1:44;PHISHING;PARLIAMENT
19.04.2021 22:20;SPAM;OFFICE OF THE PRESIDENT
19.04.2021 21:40;MALWARE;HOUSE OF MINISTRIES
19.04.2021 17:49;PHISHING;OFFICE OF THE PRIME-MINISTER
19.04.2021 16:28;NETWORK ATTACK;MINISTRY OF DEFENCE
19.04.2021 15:20;MALWARE;MINISTRY OF DEFENCE
19.04.2021 14:51;MALWARE;POLICE DEPARTMENT
19.04.2021 14:51;NETWORK ATTACK;POLICE DEPARTMENT
19.04.2021 14:30;DDOS;SUPREME COURT
19.04.2021 4:37;MALWARE;PARLIAMENT
19.04.2021 4:15;DDOS;SUPREME COURT
19.04.2021 4:15;DDOS;SUPREME COURT
19.04.2021 3:00;MALWARE;AKIMAT OF THE NUR-SULTAN
18.04.2021 23:59;MALWARE;PARLIAMENT
18.04.2021 23:13;MALWARE;AKIMAT OF THE NUR-SULTAN
18.04.2021 22:27;MALWARE;SUPREME COURT
18.04.2021 19:04;BOTNET;POLICE DEPARTMENT
18.04.2021 15:00;PHISHING;E-GOV DATA CENTER
18.04.2021 10:23;PHISHING;AKIMAT OF THE NUR-SULTAN
18.04.2021 10:20;SPAM;MINISTRY OF DIGITAL DEVELOPMENT
18.04.2021 9:09;SECURITY SYSTEM FAULT;E-GOV DATA CENTER
18.04.2021 2:00;BOTNET;MINISTRY OF DEFENCE
18.04.2021 1:46;PHISHING;HOUSE OF MINISTRIES
18.04.2021 1:30;DDOS;OFFICE OF THE PRIME-MINISTER
18.04.2021 0:01;DDOS;HOUSE OF MINISTRIES
18.04.2021 0:01;DDOS;E-GOV DATA CENTER
17.04.2021 22:00;SPAM;POLICE DEPARTMENT
17.04.2021 20:26;BOTNET;E-GOV DATA CENTER
17.04.2021 20:00;PHISHING;POLICE DEPARTMENT
17.04.2021 18:30;SECURITY SYSTEM FAULT;AKIMAT OF THE NUR-SULTAN
17.04.2021 16:30;PHISHING;AKIMAT OF THE NUR-SULTAN
17.04.2021 14:36;NETWORK ATTACK;MINISTRY OF DEFENCE
17.04.2021 1:50;MALWARE;OFFICE OF THE PRIME-MINISTER
17.04.2021 0:35;UNAUTHORIZED ACCESS;OFFICE OF THE PRIME-MINISTER
17.04.2021 0:06;SPAM;SUPREME COURT
16.04.2021 23:30;SPAM;HOUSE OF MINISTRIES
16.04.2021 19:36;NETWORK ATTACK;MINISTRY OF DEFENCE
16.04.2021 18:28;SPAM;PARLIAMENT
16.04.2021 17:50;DDOS;MINISTRY OF DIGITAL DEVELOPMENT
16.04.2021 6:50;SPAM;OFFICE OF THE PRIME-MINISTER
16.04.2021 6:00;SPAM;POLICE DEPARTMENT
16.04.2021 4:07;PHISHING;HOUSE OF MINISTRIES
16.04.2021 2:45;NETWORK ATTACK;SUPREME COURT
16.04.2021 1:13;SECURITY SYSTEM FAULT;MINISTRY OF DIGITAL DEVELOPMENT
16.04.2021 1:10;SPAM;POLICE DEPARTMENT
16.04.2021 0:30;SECURITY SYSTEM FAULT;PARLIAMENT
16.04.2021 0:19;UNAUTHORIZED ACCESS;PARLIAMENT
15.04.2021 21:14;MALWARE;HOUSE OF MINISTRIES
15.04.2021 20:09;SPAM;SUPREME COURT
15.04.2021 18:20;BOTNET;HOUSE OF MINISTRIES
15.04.2021 14:15;PHISHING;MINISTRY OF DIGITAL DEVELOPMENT
15.04.2021 12:25;INTERNAL OFFENER;MINISTRY OF DEFENCE
15.04.2021 12:16;PHISHING;PARLIAMENT
15.04.2021 7:42;DDOS;E-GOV DATA CENTER
15.04.2021 7:25;PHISHING;MINISTRY OF DEFENCE
15.04.2021 4:00;SPAM;E-GOV DATA CENTER
15.04.2021 2:58;MALWARE;MINISTRY OF DEFENCE
15.04.2021 2:49;MALWARE;OFFICE OF THE PRIME-MINISTER
15.04.2021 2:48;UNAUTHORIZED ACCESS;OFFICE OF THE PRIME-MINISTER
15.04.2021 2:40;SPAM;HOUSE OF MINISTRIES
15.04.2021 2:06;PHISHING;POLICE DEPARTMENT
